OBJECTID,FEATURE_TYPE,FEATURE_NAME,BIKE,HORSE,DOG,Trail_Mileage,trail_id,ShapeSTLength
156833,3,,Yes,Yes,Yes,0.05,,281.926513447933
156834,3,,Yes,Yes,Yes,0.01,,64.8076703538161
156835,3,,Yes,Yes,Yes,0.01,,62.8452253096643
156836,3,,Yes,Yes,Yes,0.01,,58.7502959321085
156837,3,,Yes,Yes,Yes,0.01,,36.5809079061812
156838,3,,Yes,Yes,Yes,0.03,,158.475566218852
156839,3,,Yes,Yes,Yes,0.01,,31.5091156948242
156840,3,,Yes,Yes,Yes,0.01,,26.825042916989
156841,3,,Yes,Yes,Yes,0,,20.4302758907249
156842,3,,Yes,Yes,Yes,0.01,,38.0553052457135
156843,3,,Yes,Yes,Yes,0.01,,75.1487802699514
156844,3,,Yes,Yes,Yes,0.01,,62.081591597968
156845,3,,Yes,Yes,Yes,0.02,,84.1297746056378
156846,3,,Yes,Yes,Yes,0.03,,178.56460129742
156847,3,,Yes,Yes,Yes,0.03,,167.104781696465
156848,3,,Yes,Yes,Yes,0.02,,88.8824761970471
156849,3,,Yes,Yes,Yes,0.03,,133.4347894878
156850,3,,Yes,Yes,Yes,0.02,,90.1269957068799
156851,3,,Yes,Yes,Yes,0.03,,147.735881435871
156852,3,,Yes,Yes,Yes,0.02,,129.331783847647
156853,3,,Yes,Yes,Yes,0.01,,37.7541405916298
156854,3,,Yes,Yes,Yes,0.01,,50.126993644507
156855,3,,Yes,No,Yes,0.01,,55.2439618613218
156856,4,,Yes,No,Yes,0.03,,158.97800636434
156857,4,,Yes,No,Yes,0.08,,406.992126835856
156858,4,,Yes,No,Yes,0.16,,841.760477701275
156859,4,,Yes,No,Yes,0.11,,587.964916048042
156860,4,,Yes,No,Yes,0.12,,654.144236796221
156861,4,,Yes,No,Yes,0.17,,889.639622232919
156862,4,,Yes,No,Yes,0.23,,1234.31001789479
156863,4,,Yes,No,Yes,0.19,,1008.174897637
156864,4,,Yes,No,Yes,0.49,,2588.197770183
156865,4,,Yes,No,Yes,0.04,,213.160437162384
156866,4,,Yes,Yes,Yes,0.1,,502.048961287692
156867,4,,Yes,Yes,Yes,0.1,,537.69030939275
156868,4,,Yes,Yes,Yes,0.21,,1127.09223131984
156869,4,,Yes,Yes,Yes,0.22,,1136.73399282664
156870,4,,Yes,Yes,Yes,0.15,,802.602598493096
156871,4,,Yes,Yes,Yes,0.12,,611.741610956972
156872,4,,Yes,Yes,Yes,0.24,,1264.42640728387
156873,4,,Yes,Yes,Yes,0.04,,215.334395267551
156874,4,,Yes,Yes,Yes,0.15,,817.325621991502
156875,4,,Yes,Yes,Yes,0.1,,534.001572851184
156876,4,,Yes,Yes,Yes,0.11,,590.310337711967
156877,4,,Yes,Yes,Yes,0.21,,1123.75706476597
156878,4,,Yes,Yes,Yes,0.03,,162.503223698085
156879,4,,Yes,Yes,Yes,0.03,,180.054586334948
156880,4,Hidden Star Trail,Yes,No,Yes,0.2,,1029.67877664215
156881,4,,Yes,Yes,Yes,0.18,,939.060977227149
156882,4,,Yes,Yes,Yes,0.06,,304.283408243441
156883,4,,Yes,Yes,Yes,0.13,,691.31690232997
156884,4,,Yes,Yes,Yes,0.38,,2029.02314258214
156885,4,Niwot Trails,Yes,No,Yes,0.05,,238.814573850762
156886,3,,Yes,Yes,Yes,0.06,,299.4268680822
156887,3,,Yes,Yes,Yes,0.02,,119.670946249596
156888,3,,Yes,Yes,Yes,0.02,,122.115146771718
156889,3,,Yes,Yes,Yes,0.06,,304.781234486394
156890,3,,Yes,Yes,Yes,0.01,,70.0355000857245
156891,3,,Yes,Yes,Yes,0.02,,124.293779884833
156892,3,,Yes,Yes,Yes,0.06,,311.217969853791
156893,3,,Yes,Yes,Yes,0.02,,96.8239313886816
156894,3,,Yes,Yes,Yes,0.01,,60.7277927942666
156895,3,,Yes,Yes,Yes,0.08,,425.909805443563
156896,3,,Yes,Yes,Yes,0.03,,136.85101436647
156897,3,,No,No,No,0.02,,107.800737297941
156898,3,,No,No,No,0.09,,444.810705113791
156899,3,,Yes,Yes,Yes,0.09,,481.766525495608
156900,3,Overland Trail,Yes,Yes,No,0.11,,562.046962256673
156901,3,,Yes,Yes,Yes,0.01,,66.5671597744179
156902,3,,Yes,Yes,Yes,0.01,,35.7279975497247
